k,c,pc,alpha_line
5,2B,81,-1.0795097991928366
5,2B,82,-1.0773991894016484
5,2B,83,-1.0752885796104603
5,2B,84,-1.073177969819272
5,2B,85,-1.0710673600280838
5,2B,86,-1.0689567502368955
5,2B,87,-1.0668461404457072
5,2B,88,-1.064735530654519
5,2B,89,-1.0626249208633307
5,2B,90,-1.0605143110721424
5,2B,91,-1.0584037012809542
5,2B,92,-1.056293091489766
5,2B,93,-1.0541824816985776
5,2B,94,-1.0520718719073894
5,2B,95,-1.0499612621162011
5,2B,96,-1.0478506523250128
5,2B,97,-1.0457400425338246
5,2B,98,-1.0436294327426363
5,2B,99,-1.041518822951448
5,2B,100,-1.0394082131602598
5,2B,101,-1.0372976033690715
5,2B,102,-1.0351869935778832
5,2B,103,-1.033076383786695
5,2B,104,-1.0309657739955067
5,2B,105,-1.0288551642043184
5,2B,106,-1.0267445544131302
5,2B,107,-1.024633944621942
5,2B,108,-1.0225233348307536
5,2B,109,-1.0204127250395654
5,2B,110,-1.0183021152483773
5,2B,111,-1.016191505457189
5,2B,112,-1.0140808956660008
5,2B,113,-1.0119702858748125
5,2B,114,-1.0098596760836243
5,2B,115,-1.007749066292436
5,2B,116,-1.0056384565012477
5,2B,117,-1.0035278467100595
5,2B,118,-1.0014172369188712
5,2B,119,-0.9993066271276829
5,2B,120,-0.9971960173364947
